session,n_frames,naive_sum,dedup_count,suppression_rate,median_dx,median_dy
20150919_174151,49,5091,2323,0.5437045767039874,53.082090515428035,0.6274968608426548
20150919_174730,56,609,235,0.6141215106732348,32.04816253713375,2.118989897343681
20150921_131234,9,640,187,0.7078125,32.5838079735357,-2.473979129561428
20150921_131234,13,149,60,0.5973154362416108,29.183975446255545,8.642381119665345
20150921_131234,9,83,33,0.6024096385542168,21.71318663436287,0.5474176405689377
20150921_131346,9,532,84,0.8421052631578947,-7.444928410510926,3.018840292919947
20150921_131346,4,104,47,0.5480769230769231,13.900994925456928,14.833062912723449
20150921_131346,30,164,53,0.6768292682926829,-2.306638997449909,13.28253608822115
20150921_131346,6,81,19,0.7654320987654322,-3.4264663300309053,-10.845455152776367
20150921_131453,10,513,115,0.7758284600389864,6.922650964282923,-3.5371000466626583
20150921_131453,4,191,79,0.5863874345549738,38.046987821838684,-2.1579960478973135
20150921_131453,6,120,60,0.5,28.034066813582683,-14.435260446352004
20150921_131453,7,200,161,0.19499999999999995,29.300582660938943,13.419408118885485
20150921_131453,5,198,102,0.48484848484848486,19.789237280733147,21.16050582701922
20150921_131453,4,145,48,0.6689655172413793,10.35328455485319,-50.10931123764078
20150921_131625,16,549,264,0.5191256830601093,-27.20430493246863,-0.9682462354556947
20150921_131833,35,754,315,0.5822281167108754,-28.59602079188116,1.0618351115382438
20150921_131833,5,209,70,0.6650717703349283,-29.412444909470764,2.9694588807895457
20150921_131833,5,229,62,0.7292576419213974,-14.577058830876865,-9.93064050008104
20150921_131833,10,297,111,0.6262626262626263,-14.14552859462134,25.982252966844953
20150921_131833,9,317,128,0.5962145110410095,-49.67773515871713,-1.4987696559115875
20150921_131833,4,216,65,0.6990740740740741,-12.323361047344576,0.5896790297813368
20150921_132038,36,1849,728,0.6062736614386155,-13.869710397368294,1.150793688409749
20150921_132038,6,222,73,0.6711711711711712,-35.098093493492854,-8.061727455389928
20150921_132038,9,76,63,0.17105263157894735,-36.13290509872286,5.76302143926813
20150921_132038,4,57,53,0.07017543859649122,-37.20761322711547,0.23967727783701775
