image,n_frames,naive_sum,dedup_count,true_unique,error,shift_dx
20150919_174151_image1.png,5,308,95,95,0,-59.993339699328686
20150919_174151_image6.png,5,323,95,95,0,-59.98561835869532
20150919_174151_image11.png,5,355,105,105,0,-59.98841112819079
20150919_174151_image16.png,5,331,96,96,0,-60.00026728286875
20150919_174151_image21.png,5,323,100,100,0,-59.98761148709838
20150919_174151_image26.png,5,325,102,102,0,-59.98907209359834
20150919_174151_image31.png,5,320,99,99,0,-59.9941139685626
20150919_174151_image36.png,5,307,94,94,0,-59.99784560275441
20150919_174151_image41.png,5,312,99,99,0,-59.996573467487934
20150919_174151_image46.png,5,342,97,97,0,-59.9923312719996
20150919_174151_image51.png,5,416,116,116,0,-59.992682829249645
20150919_174151_image56.png,5,396,108,108,0,-59.99226037453133
20150919_174151_image61.png,5,397,107,107,0,-59.99300382797222
20150919_174151_image66.png,5,383,108,108,0,-59.991413986004034
20150919_174151_image71.png,5,350,101,101,0,-59.98907965747219
20150919_174151_image76.png,5,325,104,104,0,-59.9885897796492
20150919_174151_image81.png,5,293,96,96,0,-59.99165763227643
20150919_174151_image86.png,5,298,101,101,0,-59.997011671041975
20150919_174151_image91.png,5,313,105,105,0,-59.99887925884329
20150919_174151_image96.png,5,289,101,101,0,-59.999306532963544
20150919_174151_image101.png,5,289,102,102,0,-59.99437978046069
20150919_174151_image106.png,5,318,99,99,0,-59.9952957551086
20150919_174151_image111.png,5,391,114,114,0,-59.98966376151381
20150919_174151_image116.png,5,385,106,106,0,-59.98846546425963
20150919_174151_image121.png,5,422,117,117,0,-59.98491180852264
20150919_174151_image126.png,5,365,107,107,0,-59.989281147310805
20150919_174151_image131.png,5,374,111,111,0,-59.99005153957472
20150919_174151_image136.png,5,381,121,121,0,-59.99331861801133
20150919_174151_image141.png,5,385,119,119,0,-59.99097751172832
20150919_174151_image146.png,5,374,113,113,0,-59.994787968788046
20150919_174151_image151.png,5,377,118,118,0,-59.99281443884311
20150919_174151_image156.png,5,363,114,114,0,-59.98543497186898
20150919_174151_image161.png,5,377,123,123,0,-59.995291812322904
20150919_174151_image166.png,5,355,117,117,0,-59.99704520522633
20150919_174151_image171.png,5,366,116,116,0,-59.990995972358974
20150919_174151_image176.png,5,341,104,104,0,-59.996394966718526
20150919_174151_image181.png,5,333,101,101,0,-59.99075777534327
20150919_174151_image186.png,5,362,100,100,0,-59.99341039936783
20150919_174151_image191.png,5,357,100,100,0,-59.989296899849734
20150919_174151_image196.png,5,333,98,98,0,-59.99238059542611
20150919_174151_image201.png,5,319,96,96,0,-59.986385051922895
20150919_174151_image206.png,5,319,98,98,0,-59.9890865094566
20150919_174151_image211.png,5,311,93,93,0,-59.99433644932469
20150919_174151_image216.png,5,321,94,94,0,-59.992001994485605
20150919_174151_image221.png,5,294,88,88,0,-59.99336586240685
20150919_174151_image226.png,5,305,98,98,0,-59.99321691196636
20150919_174151_image231.png,5,314,101,101,0,-59.997245920946426
20150919_174151_image236.png,5,295,97,97,0,-59.99435079400487
20150919_174151_image241.png,5,297,97,97,0,-59.98902345803339
20150919_174151_image286.png,5,307,94,94,0,-59.99319690907086
20150919_174151_image301.png,5,381,109,109,0,-59.992869039374
20150919_174151_image361.png,5,216,73,73,0,-59.98943707991694
20150919_174151_image381.png,5,275,85,85,0,-59.989801348055124
20150919_174151_image411.png,5,321,84,84,0,-59.99064998583006
20150919_174151_image431.png,5,343,94,94,0,-59.992303997515194
20150919_174151_image471.png,5,303,92,92,0,-59.99016447394999
20150919_174151_image496.png,5,230,81,81,0,-59.99138616178331
20150919_174151_image601.png,5,273,78,78,0,-59.99047743232552
20150919_174151_image621.png,5,276,87,87,0,-59.98599342358662
20150919_174151_image641.png,5,308,89,89,0,-59.99411706479947
20150919_174151_image656.png,5,207,61,61,0,-59.987079573806426
20150919_174151_image676.png,5,273,75,75,0,-59.994479199258734
20150919_174151_image736.png,5,231,66,66,0,-59.989000450603385
20150919_174151_image741.png,5,232,62,62,0,-59.99275748755724
20150919_174151_image806.png,5,217,65,65,0,-59.992870845124656
20150919_174151_image856.png,5,280,86,86,0,-59.98941510250438
20150919_174730_image1.png,5,147,33,33,0,-59.99743620603513
20150919_174730_image6.png,5,147,36,36,0,-59.995936323412025
20150919_174730_image11.png,5,134,31,31,0,-59.992469381062534
20150919_174730_image16.png,5,120,30,30,0,-59.99430035052936
20150919_174730_image21.png,5,100,29,29,0,-59.99334294095934
20150919_174730_image26.png,5,83,30,30,0,-59.989536089613324
20150919_174730_image31.png,5,51,21,21,0,-59.99256654382009
20150919_174730_image36.png,5,37,17,17,0,-59.9903413602793
20150919_174730_image41.png,5,32,16,16,0,-59.993946906062604
20150919_174730_image46.png,5,21,12,12,0,-59.98713275464564
20150919_174730_image51.png,5,21,11,11,0,-59.995820963783245
20150919_174730_image56.png,5,10,5,5,0,-59.996838802913004
20150919_174730_image61.png,5,7,4,4,0,-59.99851736061507
20150919_174730_image66.png,5,9,7,7,0,-59.99592501320643
20150919_174730_image71.png,5,12,5,5,0,-59.99176302803835
20150919_174730_image76.png,5,7,4,4,0,-59.99460663637342
20150919_174730_image81.png,5,11,4,4,0,-59.9849092370913
