image,instance_id,x0,y0,x1,y1,w,h,bbox_area,mask_area,solidity,local_density,dist_to_border,box_value,session,frame,mean_value,n_apples,detected
20150919_174151_image1.png,1,137.0,144.0,161.0,170.0,24.0,26.0,624.0,445,0.7131410241127014,6,149.0,173.6458282470703,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,2,137.0,169.0,161.0,189.0,24.0,20.0,480.0,363,0.7562500238418579,9,149.0,165.24583435058594,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,3,171.0,172.0,192.0,191.0,21.0,19.0,399.0,294,0.7368420958518982,10,181.5,169.91729736328125,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,4,183.0,188.0,194.0,200.0,11.0,12.0,132.0,90,0.6818181872367859,10,188.5,138.52272033691406,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,5,226.0,194.0,252.0,217.0,26.0,23.0,598.0,391,0.6538461446762085,9,205.5,158.8795928955078,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,6,225.0,175.0,235.0,188.0,10.0,13.0,130.0,70,0.5384615659713745,8,181.5,170.1999969482422,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,7,19.0,230.0,47.0,265.0,28.0,35.0,980.0,595,0.6071428656578064,6,33.0,149.66429138183594,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,8,13.0,264.0,35.0,285.0,22.0,21.0,462.0,312,0.6753246784210205,7,24.0,167.37013244628906,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,9,1.0,257.0,20.0,278.0,19.0,21.0,399.0,292,0.7318295836448669,5,10.5,168.0877227783203,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,10,115.0,225.0,137.0,247.0,22.0,22.0,484.0,345,0.7128099203109741,11,126.0,185.3491668701172,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,11,162.0,225.0,177.0,243.0,15.0,18.0,270.0,158,0.585185170173645,12,169.5,131.6777801513672,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,12,50.0,309.0,71.0,334.0,21.0,25.0,525.0,382,0.7276190519332886,12,60.5,189.4342803955078,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,13,64.0,289.0,83.0,304.0,19.0,15.0,285.0,146,0.5122807025909424,12,73.5,141.0596466064453,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,14,96.0,299.0,126.0,335.0,30.0,36.0,1080.0,828,0.7666666507720947,13,111.0,199.8037109375,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,15,68.0,311.0,100.0,346.0,32.0,35.0,1120.0,802,0.7160714268684387,15,84.0,216.3374938964844,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,16,96.0,334.0,118.0,361.0,22.0,27.0,594.0,469,0.7895622849464417,12,107.0,187.7929229736328,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,17,54.0,335.0,81.0,371.0,27.0,36.0,972.0,646,0.6646090745925903,17,67.5,167.91152954101562,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,18,69.0,373.0,100.0,411.0,31.0,38.0,1178.0,860,0.7300509214401245,16,84.5,172.85398864746094,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,19,37.0,372.0,71.0,402.0,34.0,30.0,1020.0,795,0.779411792755127,15,54.0,140.2941131591797,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,20,42.0,403.0,73.0,430.0,31.0,27.0,837.0,591,0.7060931921005249,13,57.5,172.6105194091797,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,21,26.0,422.0,47.0,449.0,21.0,27.0,567.0,422,0.7442680597305298,9,36.5,177.52557373046875,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,22,9.0,419.0,26.0,442.0,17.0,23.0,391.0,249,0.6368286609649658,8,17.5,179.7723846435547,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,23,1.0,405.0,24.0,433.0,23.0,28.0,644.0,424,0.6583850979804993,7,12.5,154.7779541015625,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,24,151.0,315.0,173.0,341.0,22.0,26.0,572.0,465,0.8129370808601379,13,162.0,110.23776245117188,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,25,201.0,320.0,238.0,359.0,37.0,39.0,1443.0,959,0.664587676525116,5,219.5,152.59597778320312,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,26,234.0,281.0,257.0,310.0,23.0,29.0,667.0,444,0.6656671762466431,7,245.5,144.92503356933594,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,27,186.0,233.0,211.0,264.0,25.0,31.0,775.0,517,0.6670967936515808,12,198.5,135.6619415283203,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,28,242.0,215.0,269.0,236.0,27.0,21.0,567.0,314,0.553791880607605,8,225.5,123.08465576171876,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,29,330.0,353.0,356.0,382.0,26.0,29.0,754.0,508,0.673740029335022,3,343.0,184.2718811035156,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,30,355.0,347.0,383.0,374.0,28.0,27.0,756.0,542,0.7169312238693237,3,351.0,184.17857360839844,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,31,8.0,544.0,45.0,574.0,37.0,30.0,1110.0,622,0.5603603720664978,1,26.5,184.4540557861328,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,32,39.0,572.0,81.0,611.0,42.0,39.0,1638.0,1218,0.7435897588729858,2,60.0,160.2918243408203,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,33,163.0,582.0,189.0,609.0,26.0,27.0,702.0,489,0.6965811848640442,2,176.0,161.90028381347656,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,34,145.0,430.0,175.0,457.0,30.0,27.0,810.0,600,0.7407407164573669,8,160.0,141.69876098632812,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,35,172.0,449.0,205.0,479.0,33.0,30.0,990.0,686,0.6929292678833008,7,188.5,154.18080139160156,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,36,131.0,385.0,164.0,415.0,33.0,30.0,990.0,695,0.7020202279090881,15,147.5,186.74444580078125,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,37,106.0,375.0,136.0,405.0,30.0,30.0,900.0,645,0.7166666388511658,14,121.0,150.47999572753906,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,38,104.0,403.0,126.0,431.0,22.0,28.0,616.0,356,0.5779221057891846,14,115.0,140.05844116210938,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,39,271.0,441.0,302.0,475.0,31.0,34.0,1054.0,690,0.6546489596366882,6,286.5,155.1764678955078,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,40,281.0,396.0,318.0,430.0,37.0,34.0,1258.0,823,0.654213011264801,6,299.5,174.8306884765625,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,41,329.0,378.0,361.0,412.0,32.0,34.0,1088.0,746,0.685661792755127,6,345.0,165.80882263183594,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,42,338.0,465.0,368.0,501.0,30.0,36.0,1080.0,724,0.6703703999519348,5,353.0,167.14166259765625,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,43,284.0,466.0,312.0,492.0,28.0,26.0,728.0,537,0.7376373410224915,5,298.0,142.41896057128906,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,44,27.0,659.0,61.0,687.0,34.0,28.0,952.0,700,0.7352941036224365,2,44.0,159.94223022460938,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,45,96.0,673.0,133.0,707.0,37.0,34.0,1258.0,947,0.7527821660041809,3,114.5,173.02464294433594,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,46,160.0,668.0,193.0,699.0,33.0,31.0,1023.0,746,0.7292277812957764,6,176.5,171.40957641601562,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,47,210.0,655.0,238.0,673.0,28.0,18.0,504.0,352,0.6984127163887024,8,224.0,185.7996063232422,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,48,278.0,605.0,300.0,631.0,22.0,26.0,572.0,390,0.6818181872367859,4,289.0,98.65734100341795,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,49,270.0,655.0,299.0,687.0,29.0,32.0,928.0,649,0.6993534564971924,6,284.5,200.7769470214844,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,50,249.0,688.0,276.0,714.0,27.0,26.0,702.0,511,0.7279202342033386,8,262.5,203.93304443359372,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,51,266.0,698.0,297.0,730.0,31.0,32.0,992.0,632,0.6370967626571655,7,281.5,177.3961639404297,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,52,321.0,787.0,352.0,815.0,31.0,28.0,868.0,628,0.7235022783279419,4,336.5,157.8168182373047,20150919_174151,1,116.6315689086914,95,True
20150919_174151_image1.png,53,229.0,739.0,259.0,767.0,30.0,28.0,840.0,556,0.6619047522544861,10,244.0,115.5559539794922,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,54,146.0,772.0,171.0,798.0,25.0,26.0,650.0,371,0.5707692503929138,4,158.5,131.3138427734375,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,55,282.0,915.0,304.0,943.0,22.0,28.0,616.0,425,0.6899350881576538,4,293.0,171.24188232421875,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,56,408.0,839.0,428.0,855.0,20.0,16.0,320.0,192,0.6000000238418579,4,302.0,133.3625030517578,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,57,404.0,740.0,428.0,762.0,24.0,22.0,528.0,337,0.6382575631141663,7,304.0,187.80682373046875,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,58,477.0,767.0,506.0,793.0,29.0,26.0,754.0,507,0.6724137663841248,6,228.5,133.1923065185547,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,59,428.0,268.0,447.0,297.0,19.0,29.0,551.0,423,0.7676951289176941,1,282.5,147.64065551757812,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,60,530.0,366.0,557.0,392.0,27.0,26.0,702.0,533,0.7592592835426331,3,176.5,122.7535629272461,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,61,410.0,483.0,433.0,512.0,23.0,29.0,667.0,363,0.5442278981208801,1,298.5,165.48126220703125,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,62,603.0,371.0,630.0,395.0,27.0,24.0,648.0,446,0.6882715821266174,3,103.5,160.52468872070312,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,63,553.0,351.0,585.0,384.0,32.0,33.0,1056.0,683,0.6467803120613098,3,151.0,165.8020782470703,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,64,582.0,330.0,611.0,358.0,29.0,28.0,812.0,545,0.6711822748184204,3,123.5,148.66995239257812,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,65,692.0,227.0,718.0,250.0,26.0,23.0,598.0,447,0.7474916577339172,3,15.0,192.30101013183597,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,66,704.0,243.0,720.0,261.0,16.0,18.0,288.0,151,0.5243055820465088,3,8.0,179.3229217529297,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,67,698.0,319.0,719.0,339.0,21.0,20.0,420.0,294,0.699999988079071,3,11.5,111.44523620605467,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,68,682.0,305.0,708.0,326.0,26.0,21.0,546.0,320,0.5860806107521057,3,25.0,90.4084243774414,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,69,509.0,625.0,538.0,657.0,29.0,32.0,928.0,656,0.7068965435028076,5,196.5,204.5808258056641,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,70,514.0,645.0,550.0,676.0,36.0,31.0,1116.0,682,0.6111111044883728,6,188.0,167.9516143798828,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,71,572.0,687.0,596.0,708.0,24.0,21.0,504.0,278,0.5515872836112976,5,136.0,137.09324645996094,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,72,587.0,696.0,615.0,714.0,28.0,18.0,504.0,321,0.636904776096344,4,119.0,121.41666412353516,20150919_174151,1,116.6315689086914,95,False
20150919_174151_image1.png,73,513.0,720.0,534.0,735.0,21.0,15.0,315.0,213,0.6761904954910278,10,196.5,173.14602661132812,20150919_174151,1,116.6315689086914,95,False
