factor,stratum,n_gt,fn,fn_rate,excess_fn,excess_ratio,share_of_all_fn
aglomeração,cacho (6–10),8379,3702,0.44181883279627643,660.7399403874815,1.2172586123633455,0.3619122103822466
aglomeração,cacho denso (>10),1779,1057,0.5941540191118606,411.29029167553756,1.636958506854087,0.10333365920422329
aglomeração,grupo (3–5),10363,3407,0.3287658014088584,-354.37701369668594,0.9057852982016276,0.3330726366213706
aglomeração,isolada (0–2),7661,2063,0.2692859939955619,-717.653218366333,0.7419120034004228,0.20168149379215955
borda,perto (50–150 px),7482,3083,0.41205560010692327,367.3170108579943,1.1352576910952499,0.3013979861179001
borda,colada na borda (<50 px),3765,1592,0.42284196547144753,225.44741324249526,1.1649752928845767,0.15563593704174405
borda,interior (>150 px),16935,5554,0.32795984647180393,-592.76442410049,0.9035648052857932,0.5429660768403558
iluminação,média,9388,4581,0.48796335747763103,1173.5111063799586,1.3443917626781305,0.44784436406295824
iluminação,clara,9380,4000,0.42643923240938164,595.4148037754594,1.1748861518976628,0.39104506794408056
iluminação,escura,9414,1648,0.1750584236243892,-1768.9259101554185,0.4823048679814778,0.1611105679929612
oclusão (solidez),"ocluída (0,70–0,85)",5401,2190,0.40548046658026293,229.64129586260742,1.1171424879426113,0.2140971746993841
oclusão (solidez),"muito ocluída (<0,70)",1528,782,0.5117801047120419,227.39379745937129,1.4100094741416331,0.07644931078306774
oclusão (solidez),"pouco ocluída (0,85–0,95)",7505,2539,0.33830779480346435,-185.03111915406998,0.9320745207890538,0.24821585687750514
oclusão (solidez),"limpa (>0,95)",13748,4718,0.34317718940936864,-272.0039741679084,0.9454902289505159,0.46123765764004304
sessão,20150919_174151,6472,5386,0.8322002472187886,3036.908807039955,2.292801580518125,0.5265421839867045
sessão,20150919_174730,3119,1644,0.5270920166720102,511.92097792917457,1.4521954456790098,0.16071952292501712
sessão,20150921_132245,504,91,0.18055555555555555,-91.93293591654248,0.49745006028611466,0.008896275295727833
sessão,20150921_131729,1067,152,0.14245548266166824,-235.28064012490245,0.3924802436573599,0.014859712581875061
sessão,20150921_132038,2890,809,0.2799307958477509,-239.96068412461864,0.7712395824206976,0.0790888649916903
sessão,20150921_131234,2154,460,0.2135561745589601,-321.8205237385565,0.5883703305719633,0.044970182813569265
sessão,20150921_131346,2711,404,0.14902250092216895,-579.990454900291,0.4105730883750675,0.03949555186235214
sessão,20150921_131833,2801,429,0.15315958586219208,-587.6570505996735,0.42197120429839646,0.04193958353700264
sessão,20150921_131625,2982,384,0.12877263581488935,-698.3532041728763,0.35478252248853376,0.037540326522631735
sessão,20150921_131453,3482,470,0.134979896611143,-793.8342913916683,0.37188419652900895,0.04594779548342946
área (COCO),small (<32²),19581,8731,0.44589142536131965,1623.8376623376626,1.2284790448267386,0.8535536220549418
área (COCO),medium (32²–96²),8601,1498,0.1741657946750378,-1623.8376623376626,0.4798455787987012,0.14644637794505816
