session,n_images,frame_min,frame_max,gap_median,gap_min,frac_gap_le_5
20150919_174151,66,1,856,5.0,5,0.7538461538461538
20150919_174730,100,1,1331,5.0,5,0.6161616161616161
20150921_131234,59,1,686,5.0,5,0.7241379310344828
20150921_131346,88,1,1146,5.0,5,0.6436781609195402
20150921_131453,81,1,1241,5.0,5,0.5125
20150921_131625,52,1,1111,15.0,5,0.43137254901960786
20150921_131729,34,1,826,15.0,5,0.3939393939393939
20150921_131833,84,1,546,5.0,5,0.8433734939759037
20150921_132038,83,1,1446,5.0,5,0.6585365853658537
20150921_132245,23,1,1166,52.5,5,0.045454545454545456
