image,session,frame,n_apples,mean_value,mean_saturation
20150919_174151_image1.png,20150919_174151,1,95,116.6315689086914,150.41307067871094
20150919_174151_image6.png,20150919_174151,6,95,116.15074920654297,150.63809204101562
20150919_174151_image11.png,20150919_174151,11,105,116.0434341430664,151.25645446777344
20150919_174151_image16.png,20150919_174151,16,96,116.04023742675781,152.20590209960938
20150919_174151_image21.png,20150919_174151,21,100,116.28377532958984,152.0469207763672
20150919_174151_image26.png,20150919_174151,26,102,120.0174789428711,148.22056579589844
20150919_174151_image31.png,20150919_174151,31,99,121.3814697265625,149.42291259765625
20150919_174151_image36.png,20150919_174151,36,94,121.5301742553711,148.9161834716797
20150919_174151_image41.png,20150919_174151,41,99,123.75454711914062,147.50527954101562
20150919_174151_image46.png,20150919_174151,46,97,122.46893310546875,150.5615692138672
20150919_174151_image51.png,20150919_174151,51,116,121.71786499023438,152.08349609375
20150919_174151_image56.png,20150919_174151,56,108,122.18409729003906,153.43609619140625
20150919_174151_image61.png,20150919_174151,61,107,124.01417541503906,151.8048553466797
20150919_174151_image66.png,20150919_174151,66,108,126.3047103881836,148.68739318847656
20150919_174151_image71.png,20150919_174151,71,101,131.5120086669922,144.1013641357422
20150919_174151_image76.png,20150919_174151,76,104,132.58914184570312,144.1765899658203
20150919_174151_image81.png,20150919_174151,81,96,132.81893920898438,141.18231201171875
20150919_174151_image86.png,20150919_174151,86,101,133.27272033691406,140.68600463867188
20150919_174151_image91.png,20150919_174151,91,105,130.27871704101562,142.9469451904297
20150919_174151_image96.png,20150919_174151,96,101,132.86830139160156,140.57232666015625
20150919_174151_image101.png,20150919_174151,101,102,132.1949005126953,140.52517700195312
20150919_174151_image106.png,20150919_174151,106,99,129.97116088867188,142.7383575439453
20150919_174151_image111.png,20150919_174151,111,114,121.86522674560547,149.409423828125
20150919_174151_image116.png,20150919_174151,116,106,121.7777328491211,150.3423614501953
20150919_174151_image121.png,20150919_174151,121,117,121.903076171875,152.93479919433594
20150919_174151_image126.png,20150919_174151,126,107,121.16931915283203,150.98358154296875
20150919_174151_image131.png,20150919_174151,131,111,116.4170150756836,154.99078369140625
20150919_174151_image136.png,20150919_174151,136,121,119.04751586914062,153.90829467773438
20150919_174151_image141.png,20150919_174151,141,119,121.96949768066406,151.74465942382812
20150919_174151_image146.png,20150919_174151,146,113,124.46015930175781,149.5671844482422
20150919_174151_image151.png,20150919_174151,151,118,125.90612030029297,151.41159057617188
20150919_174151_image156.png,20150919_174151,156,114,123.54173278808594,152.22142028808594
20150919_174151_image161.png,20150919_174151,161,123,123.83900451660156,150.5955047607422
20150919_174151_image166.png,20150919_174151,166,117,122.70855712890625,151.38087463378906
20150919_174151_image171.png,20150919_174151,171,116,126.9168930053711,148.3804931640625
20150919_174151_image176.png,20150919_174151,176,104,123.28624725341797,150.4644775390625
20150919_174151_image181.png,20150919_174151,181,101,118.95068359375,155.37815856933594
20150919_174151_image186.png,20150919_174151,186,100,117.33214569091797,155.55343627929688
20150919_174151_image191.png,20150919_174151,191,100,117.50598907470703,154.92745971679688
20150919_174151_image196.png,20150919_174151,196,98,118.47590637207031,153.80709838867188
20150919_174151_image201.png,20150919_174151,201,96,115.4414291381836,157.29058837890625
20150919_174151_image206.png,20150919_174151,206,98,113.7360610961914,159.43124389648438
20150919_174151_image211.png,20150919_174151,211,93,114.9057846069336,160.3592987060547
20150919_174151_image216.png,20150919_174151,216,94,117.74041748046875,157.6531524658203
20150919_174151_image221.png,20150919_174151,221,88,115.93107604980469,158.2860565185547
20150919_174151_image226.png,20150919_174151,226,98,120.17453002929688,154.84945678710938
20150919_174151_image231.png,20150919_174151,231,101,121.60042572021484,151.079345703125
20150919_174151_image236.png,20150919_174151,236,97,124.82543182373047,148.34707641601562
20150919_174151_image241.png,20150919_174151,241,97,124.654052734375,150.9582061767578
20150919_174151_image286.png,20150919_174151,286,94,131.1668701171875,146.23843383789062
20150919_174151_image301.png,20150919_174151,301,109,124.91802215576172,153.6836395263672
20150919_174151_image361.png,20150919_174151,361,73,123.79716491699219,145.97633361816406
20150919_174151_image381.png,20150919_174151,381,85,124.65557098388672,136.5330352783203
20150919_174151_image411.png,20150919_174151,411,84,137.563720703125,132.16256713867188
20150919_174151_image431.png,20150919_174151,431,94,128.5711212158203,138.61459350585938
20150919_174151_image471.png,20150919_174151,471,92,134.96067810058594,138.6793975830078
20150919_174151_image496.png,20150919_174151,496,81,125.4988021850586,144.667236328125
20150919_174151_image601.png,20150919_174151,601,78,122.6856460571289,149.85861206054688
20150919_174151_image621.png,20150919_174151,621,87,118.784423828125,153.35069274902344
20150919_174151_image641.png,20150919_174151,641,89,108.73583221435547,164.50062561035156
20150919_174151_image656.png,20150919_174151,656,61,118.08812713623047,159.88885498046875
20150919_174151_image676.png,20150919_174151,676,75,113.81355285644531,159.82476806640625
20150919_174151_image736.png,20150919_174151,736,66,127.73160552978516,138.3735809326172
20150919_174151_image741.png,20150919_174151,741,62,130.49569702148438,135.5701141357422
20150919_174151_image806.png,20150919_174151,806,65,123.8897933959961,146.0568084716797
20150919_174151_image856.png,20150919_174151,856,86,120.52294921875,145.73587036132812
20150919_174730_image1.png,20150919_174730,1,33,123.90621185302734,152.35841369628906
20150919_174730_image6.png,20150919_174730,6,36,123.89937591552734,152.27346801757812
20150919_174730_image11.png,20150919_174730,11,31,126.98374938964844,150.16452026367188
20150919_174730_image16.png,20150919_174730,16,30,127.98111724853516,149.62570190429688
20150919_174730_image21.png,20150919_174730,21,29,128.03062438964844,150.0906219482422
20150919_174730_image26.png,20150919_174730,26,30,128.29148864746094,149.8524932861328
20150919_174730_image31.png,20150919_174730,31,21,129.53553771972656,149.24920654296875
20150919_174730_image36.png,20150919_174730,36,17,131.0428009033203,147.35562133789062
20150919_174730_image41.png,20150919_174730,41,16,133.29786682128906,144.55191040039062
20150919_174730_image46.png,20150919_174730,46,12,131.79042053222656,145.9700927734375
20150919_174730_image51.png,20150919_174730,51,11,133.4918212890625,144.6647186279297
20150919_174730_image56.png,20150919_174730,56,5,134.53155517578125,143.88070678710938
20150919_174730_image61.png,20150919_174730,61,4,130.91123962402344,148.26339721679688
20150919_174730_image66.png,20150919_174730,66,7,128.73240661621094,149.74856567382812
20150919_174730_image71.png,20150919_174730,71,5,131.02182006835938,146.34976196289062
20150919_174730_image76.png,20150919_174730,76,4,134.29287719726562,142.390625
20150919_174730_image81.png,20150919_174730,81,4,134.93392944335938,141.24485778808594
20150919_174730_image86.png,20150919_174730,86,5,130.6040802001953,142.3750457763672
20150919_174730_image91.png,20150919_174730,91,7,132.49571228027344,140.4087677001953
20150919_174730_image96.png,20150919_174730,96,7,135.53536987304688,137.92514038085938
20150919_174730_image101.png,20150919_174730,101,8,132.0522918701172,140.97625732421875
20150919_174730_image106.png,20150919_174730,106,6,135.73988342285156,138.7584228515625
20150919_174730_image111.png,20150919_174730,111,8,133.1358184814453,141.4958038330078
20150919_174730_image116.png,20150919_174730,116,8,134.8445281982422,140.31344604492188
20150919_174730_image121.png,20150919_174730,121,8,132.8869171142578,142.10498046875
20150919_174730_image126.png,20150919_174730,126,9,135.40692138671875,139.5429229736328
20150919_174730_image131.png,20150919_174730,131,10,134.35887145996094,140.2641143798828
20150919_174730_image136.png,20150919_174730,136,11,129.67214965820312,144.1641845703125
20150919_174730_image141.png,20150919_174730,141,12,125.77486419677734,147.70706176757812
20150919_174730_image146.png,20150919_174730,146,12,129.86978149414062,144.93617248535156
20150919_174730_image151.png,20150919_174730,151,14,129.03317260742188,146.93336486816406
20150919_174730_image156.png,20150919_174730,156,11,127.74715423583984,147.7821502685547
20150919_174730_image161.png,20150919_174730,161,11,127.41060638427734,149.56068420410156
20150919_174730_image166.png,20150919_174730,166,10,126.11195373535156,150.86302185058594
20150919_174730_image171.png,20150919_174730,171,9,125.18435668945312,152.38720703125
20150919_174730_image176.png,20150919_174730,176,9,127.68340301513672,151.38999938964844
20150919_174730_image181.png,20150919_174730,181,8,130.75885009765625,149.55996704101562
20150919_174730_image186.png,20150919_174730,186,7,128.2764892578125,151.75827026367188
20150919_174730_image191.png,20150919_174730,191,8,130.51156616210938,150.74844360351562
20150919_174730_image196.png,20150919_174730,196,7,132.20550537109375,149.68954467773438
20150919_174730_image201.png,20150919_174730,201,7,131.28176879882812,151.57467651367188
20150919_174730_image206.png,20150919_174730,206,7,132.06918334960938,149.9439697265625
20150919_174730_image211.png,20150919_174730,211,9,135.44093322753906,144.2083740234375
20150919_174730_image216.png,20150919_174730,216,6,135.14280700683594,143.67938232421875
20150919_174730_image221.png,20150919_174730,221,6,135.36146545410156,141.7842254638672
20150919_174730_image226.png,20150919_174730,226,6,135.86343383789062,139.89353942871094
20150919_174730_image231.png,20150919_174730,231,4,136.3715362548828,136.78082275390625
20150919_174730_image236.png,20150919_174730,236,3,136.6102752685547,135.54798889160156
20150919_174730_image241.png,20150919_174730,241,2,132.1511688232422,137.79052734375
20150919_174730_image246.png,20150919_174730,246,1,132.65304565429688,134.74838256835938
20150919_174730_image251.png,20150919_174730,251,1,133.31578063964844,133.72811889648438
20150919_174730_image256.png,20150919_174730,256,5,133.05393981933594,133.51084899902344
20150919_174730_image261.png,20150919_174730,261,7,130.36932373046875,135.59463500976562
20150919_174730_image266.png,20150919_174730,266,14,136.49356079101562,128.83010864257812
20150919_174730_image271.png,20150919_174730,271,17,140.82899475097656,124.61669921875
20150919_174730_image276.png,20150919_174730,276,14,144.56292724609375,120.91451263427734
20150919_174730_image286.png,20150919_174730,286,16,135.4088134765625,126.63116455078125
20150919_174730_image296.png,20150919_174730,296,20,138.79058837890625,125.35730743408203
20150919_174730_image301.png,20150919_174730,301,23,133.30055236816406,129.6074981689453
20150919_174730_image306.png,20150919_174730,306,24,136.13710021972656,127.60104370117188
20150919_174730_image321.png,20150919_174730,321,32,131.35462951660156,132.6338653564453
20150919_174730_image331.png,20150919_174730,331,35,130.9835968017578,134.57553100585938
20150919_174730_image341.png,20150919_174730,341,36,129.73744201660156,136.09088134765625
20150919_174730_image351.png,20150919_174730,351,34,126.20279693603516,139.90110778808594
20150919_174730_image356.png,20150919_174730,356,40,129.92794799804688,136.075927734375
20150919_174730_image376.png,20150919_174730,376,39,130.12094116210938,136.39488220214844
20150919_174730_image386.png,20150919_174730,386,56,130.55963134765625,133.28440856933594
20150919_174730_image396.png,20150919_174730,396,47,131.96273803710938,128.91502380371094
20150919_174730_image411.png,20150919_174730,411,48,133.21139526367188,126.28059387207031
20150919_174730_image426.png,20150919_174730,426,47,130.0950927734375,128.25526428222656
20150919_174730_image436.png,20150919_174730,436,45,128.5330352783203,126.2552719116211
20150919_174730_image441.png,20150919_174730,441,49,127.27600860595703,125.7662124633789
20150919_174730_image456.png,20150919_174730,456,35,128.06027221679688,121.97331237792969
20150919_174730_image471.png,20150919_174730,471,51,133.11578369140625,116.18981170654297
20150919_174730_image486.png,20150919_174730,486,51,132.85841369628906,113.01972198486328
20150919_174730_image491.png,20150919_174730,491,66,132.4455108642578,112.70614624023438
20150919_174730_image496.png,20150919_174730,496,56,132.2517852783203,111.53466796875
20150919_174730_image506.png,20150919_174730,506,68,131.9557342529297,110.33048248291016
20150919_174730_image521.png,20150919_174730,521,70,134.8009490966797,104.62682342529297
20150919_174730_image536.png,20150919_174730,536,77,134.42352294921875,103.45547485351562
20150919_174730_image551.png,20150919_174730,551,78,138.90489196777344,101.41041564941406
20150919_174730_image566.png,20150919_174730,566,76,137.4899139404297,104.97046661376953
20150919_174730_image581.png,20150919_174730,581,79,125.99034881591797,116.17598724365234
20150919_174730_image596.png,20150919_174730,596,69,128.3623809814453,120.04473876953125
20150919_174730_image611.png,20150919_174730,611,62,132.31072998046875,120.02059173583984
20150919_174730_image631.png,20150919_174730,631,50,126.39642333984375,127.04937744140625
20150919_174730_image646.png,20150919_174730,646,44,122.90660095214844,129.7247772216797
20150919_174730_image666.png,20150919_174730,666,54,124.56732940673828,131.6333770751953
20150919_174730_image681.png,20150919_174730,681,65,125.07947540283203,133.82086181640625
20150919_174730_image701.png,20150919_174730,701,77,131.78639221191406,129.7177276611328
20150919_174730_image736.png,20150919_174730,736,76,130.84779357910156,134.32937622070312
20150919_174730_image761.png,20150919_174730,761,74,127.77124786376953,134.72210693359375
20150919_174730_image786.png,20150919_174730,786,51,125.47498321533203,140.8460693359375
20150919_174730_image811.png,20150919_174730,811,54,120.40132141113281,144.84747314453125
20150919_174730_image861.png,20150919_174730,861,74,125.74633026123047,140.6882781982422
20150919_174730_image911.png,20150919_174730,911,72,125.41323852539062,148.7793731689453
20150919_174730_image961.png,20150919_174730,961,113,137.35873413085938,137.52511596679688
20150919_174730_image1046.png,20150919_174730,1046,88,126.5203857421875,138.93576049804688
20150919_174730_image1146.png,20150919_174730,1146,107,122.53083038330078,146.6273193359375
20150919_174730_image1331.png,20150919_174730,1331,82,127.27274322509766,143.23040771484375
20150921_131234_image1.png,20150921_131234,1,72,115.89405059814453,118.87065124511719
20150921_131234_image6.png,20150921_131234,6,67,115.67654418945312,117.33404541015625
20150921_131234_image11.png,20150921_131234,11,75,114.03089141845703,115.76067352294922
20150921_131234_image16.png,20150921_131234,16,71,111.02468872070312,116.01982879638672
20150921_131234_image21.png,20150921_131234,21,68,109.98880767822266,116.31079864501953
20150921_131234_image26.png,20150921_131234,26,68,110.43596649169922,115.4884262084961
20150921_131234_image31.png,20150921_131234,31,74,111.8094482421875,119.24565887451172
20150921_131234_image36.png,20150921_131234,36,72,112.62239837646484,117.16960144042969
20150921_131234_image41.png,20150921_131234,41,73,114.1783676147461,115.24359130859375
20150921_131234_image56.png,20150921_131234,56,37,113.29927062988281,117.8709716796875
20150921_131234_image61.png,20150921_131234,61,28,111.08501434326172,122.93693542480469
20150921_131234_image66.png,20150921_131234,66,23,113.47066497802734,117.82430267333984
20150921_131234_image86.png,20150921_131234,86,35,105.96784210205078,117.2806625366211
20150921_131234_image91.png,20150921_131234,91,56,104.53205871582031,122.48951721191406
20150921_131234_image201.png,20150921_131234,201,43,106.01366424560547,105.03428649902344
20150921_131234_image206.png,20150921_131234,206,40,106.43277740478516,103.59114837646484
20150921_131234_image216.png,20150921_131234,216,51,98.29888916015625,112.53790283203125
20150921_131234_image221.png,20150921_131234,221,49,98.77851867675781,113.4093246459961
20150921_131234_image231.png,20150921_131234,231,58,106.62731170654297,108.54811096191406
20150921_131234_image236.png,20150921_131234,236,40,109.97920989990234,105.32154846191406
20150921_131234_image286.png,20150921_131234,286,60,105.62935638427734,111.97213745117188
20150921_131234_image306.png,20150921_131234,306,67,111.48054504394531,109.93153381347656
20150921_131234_image341.png,20150921_131234,341,64,103.31697082519531,109.8542251586914
20150921_131234_image361.png,20150921_131234,361,48,97.11653137207031,114.10357666015625
20150921_131234_image366.png,20150921_131234,366,45,95.65005493164062,113.12675476074219
