a,b,sessao_a,sessao_b,inliers
20150921_131346_image81.png,20150921_131625_image91.png,20150921_131346,20150921_131625,13
20150921_131453_image731.png,20150921_132038_image106.png,20150921_131453,20150921_132038,11
20150921_131453_image666.png,20150921_132245_image1001.png,20150921_131453,20150921_132245,11
20150921_131625_image706.png,20150921_131729_image426.png,20150921_131625,20150921_131729,11
20150921_131453_image731.png,20150921_132245_image601.png,20150921_131453,20150921_132245,11
20150921_131234_image651.png,20150921_131453_image801.png,20150921_131234,20150921_131453,11
20150921_131453_image1121.png,20150921_132038_image341.png,20150921_131453,20150921_132038,11
20150921_131453_image666.png,20150921_131833_image356.png,20150921_131453,20150921_131833,11
20150919_174730_image356.png,20150921_131833_image31.png,20150919_174730,20150921_131833,11
20150921_131453_image1086.png,20150921_131625_image686.png,20150921_131453,20150921_131625,11
20150921_131234_image476.png,20150921_131625_image661.png,20150921_131234,20150921_131625,11
20150921_131453_image731.png,20150921_131729_image311.png,20150921_131453,20150921_131729,11
20150921_131453_image671.png,20150921_131729_image116.png,20150921_131453,20150921_131729,11
20150921_131453_image686.png,20150921_132245_image601.png,20150921_131453,20150921_132245,11
20150921_131453_image686.png,20150921_131833_image436.png,20150921_131453,20150921_131833,11
20150921_131453_image211.png,20150921_131833_image41.png,20150921_131453,20150921_131833,11
20150921_131453_image891.png,20150921_131625_image226.png,20150921_131453,20150921_131625,11
20150921_131453_image106.png,20150921_131729_image421.png,20150921_131453,20150921_131729,11
20150921_131453_image721.png,20150921_131833_image331.png,20150921_131453,20150921_131833,11
20150921_131234_image461.png,20150921_131833_image511.png,20150921_131234,20150921_131833,11
20150921_131453_image76.png,20150921_132038_image261.png,20150921_131453,20150921_132038,11
20150919_174730_image31.png,20150921_131346_image786.png,20150919_174730,20150921_131346,11
20150921_131453_image721.png,20150921_131625_image701.png,20150921_131453,20150921_131625,11
20150921_131453_image1141.png,20150921_131625_image441.png,20150921_131453,20150921_131625,11
20150921_131453_image711.png,20150921_131833_image201.png,20150921_131453,20150921_131833,11
20150921_131234_image541.png,20150921_132038_image156.png,20150921_131234,20150921_132038,11
20150921_131729_image656.png,20150921_132038_image551.png,20150921_131729,20150921_132038,11
20150921_131234_image461.png,20150921_131833_image91.png,20150921_131234,20150921_131833,11
20150921_131453_image731.png,20150921_131833_image111.png,20150921_131453,20150921_131833,11
20150921_131453_image1086.png,20150921_131833_image36.png,20150921_131453,20150921_131833,11
20150921_131729_image656.png,20150921_131833_image346.png,20150921_131729,20150921_131833,11
20150919_174151_image736.png,20150921_131346_image756.png,20150919_174151,20150921_131346,11
20150921_131453_image701.png,20150921_131833_image511.png,20150921_131453,20150921_131833,11
20150921_131234_image91.png,20150921_131453_image721.png,20150921_131234,20150921_131453,11
20150921_131625_image801.png,20150921_132245_image801.png,20150921_131625,20150921_132245,11
20150921_131234_image536.png,20150921_131346_image906.png,20150921_131234,20150921_131346,11
20150921_131729_image676.png,20150921_131833_image216.png,20150921_131729,20150921_131833,11
20150919_174151_image126.png,20150919_174730_image351.png,20150919_174151,20150919_174730,11
20150919_174151_image6.png,20150921_131453_image801.png,20150919_174151,20150921_131453,11
20150921_131453_image666.png,20150921_131833_image341.png,20150921_131453,20150921_131833,11
20150921_131453_image731.png,20150921_131833_image241.png,20150921_131453,20150921_131833,11
20150921_131453_image691.png,20150921_131729_image116.png,20150921_131453,20150921_131729,11
20150921_131625_image306.png,20150921_131833_image166.png,20150921_131625,20150921_131833,11
20150921_131453_image701.png,20150921_131625_image686.png,20150921_131453,20150921_131625,11
20150921_131234_image586.png,20150921_131346_image1011.png,20150921_131234,20150921_131346,11
20150921_131453_image691.png,20150921_131625_image686.png,20150921_131453,20150921_131625,11
20150919_174151_image141.png,20150921_132038_image336.png,20150919_174151,20150921_132038,11
20150921_131453_image721.png,20150921_131833_image121.png,20150921_131453,20150921_131833,11
20150921_131346_image1066.png,20150921_131833_image221.png,20150921_131346,20150921_131833,11
20150921_131453_image711.png,20150921_131625_image1091.png,20150921_131453,20150921_131625,11
20150921_131453_image701.png,20150921_132038_image796.png,20150921_131453,20150921_132038,11
20150921_131453_image666.png,20150921_131833_image351.png,20150921_131453,20150921_131833,11
20150921_131453_image1066.png,20150921_131833_image541.png,20150921_131453,20150921_131833,11
20150921_131833_image151.png,20150921_132038_image96.png,20150921_131833,20150921_132038,11
20150919_174151_image151.png,20150919_174730_image436.png,20150919_174151,20150919_174730,11
20150919_174151_image56.png,20150921_131833_image386.png,20150919_174151,20150921_131833,11
20150921_131625_image161.png,20150921_132245_image1001.png,20150921_131625,20150921_132245,11
20150921_131453_image666.png,20150921_131833_image201.png,20150921_131453,20150921_131833,11
20150921_131453_image666.png,20150921_131729_image251.png,20150921_131453,20150921_131729,11
20150921_131234_image456.png,20150921_131346_image541.png,20150921_131234,20150921_131346,11
20150921_131234_image451.png,20150921_131833_image66.png,20150921_131234,20150921_131833,11
20150921_131625_image236.png,20150921_132038_image96.png,20150921_131625,20150921_132038,11
20150919_174151_image46.png,20150921_131346_image996.png,20150919_174151,20150921_131346,11
20150921_131234_image451.png,20150921_131625_image361.png,20150921_131234,20150921_131625,11
20150919_174151_image46.png,20150919_174730_image566.png,20150919_174151,20150919_174730,11
20150921_131453_image661.png,20150921_131833_image436.png,20150921_131453,20150921_131833,11
20150921_131453_image661.png,20150921_131625_image641.png,20150921_131453,20150921_131625,11
20150919_174730_image131.png,20150921_132038_image896.png,20150919_174730,20150921_132038,11
20150921_131234_image416.png,20150921_131346_image1136.png,20150921_131234,20150921_131346,11
20150921_131234_image41.png,20150921_132038_image921.png,20150921_131234,20150921_132038,11
20150921_131833_image521.png,20150921_132245_image46.png,20150921_131833,20150921_132245,11
20150921_131453_image66.png,20150921_131729_image676.png,20150921_131453,20150921_131729,11
20150921_131833_image516.png,20150921_132038_image101.png,20150921_131833,20150921_132038,11
20150919_174730_image141.png,20150921_131625_image691.png,20150919_174730,20150921_131625,11
20150921_131346_image831.png,20150921_131453_image101.png,20150921_131346,20150921_131453,11
20150921_131346_image16.png,20150921_131729_image421.png,20150921_131346,20150921_131729,11
20150919_174151_image191.png,20150919_174730_image456.png,20150919_174151,20150919_174730,11
20150921_131453_image731.png,20150921_131729_image771.png,20150921_131453,20150921_131729,11
20150921_131346_image786.png,20150921_132038_image921.png,20150921_131346,20150921_132038,11
20150921_131346_image786.png,20150921_131833_image326.png,20150921_131346,20150921_131833,11
20150921_131346_image256.png,20150921_132038_image1006.png,20150921_131346,20150921_132038,11
20150921_131346_image776.png,20150921_131729_image806.png,20150921_131346,20150921_131729,11
20150921_131234_image36.png,20150921_131346_image11.png,20150921_131234,20150921_131346,11
20150921_131625_image1091.png,20150921_131833_image326.png,20150921_131625,20150921_131833,11
20150921_131453_image636.png,20150921_131625_image156.png,20150921_131453,20150921_131625,11
20150921_131729_image426.png,20150921_131833_image346.png,20150921_131729,20150921_131833,11
20150921_131833_image416.png,20150921_132038_image81.png,20150921_131833,20150921_132038,11
20150921_131234_image286.png,20150921_131346_image281.png,20150921_131234,20150921_131346,11
20150921_131625_image1001.png,20150921_131833_image411.png,20150921_131625,20150921_131833,11
20150921_131346_image386.png,20150921_131453_image1056.png,20150921_131346,20150921_131453,11
