arm,policy_label,metric,policy,threshold,drop_truncated,conf,n_policies_reais,tp,fp,fn,precision,recall,f1,n_images,gt_total,pred_total,MAE,RMSE,MAPE,bias,bias_rel,R2,fit_r2,slope,intercept,latency_total_ms,latency_merge_ms,n_tiles,fold
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.01,1,3203,6297,279,0.3371578947368421,0.9198736358414704,0.4934524726544447,81,3482.0,9500.0,74.29629629629629,77.03181962389245,1.8665773756976296,74.29629629629629,1.7283170591614014,-28.682354501872474,0.7094927900630013,1.8333419739683081,38.47287958817716,18.315599848981947,3.423499991185963,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.02,1,3159,4062,323,0.4374740340673037,0.9072372199885124,0.5903017845463888,81,3482.0,7221.0,46.160493827160494,48.53953460585594,1.1623322213662273,46.160493827160494,1.0738081562320505,-10.785533594788781,0.7302037718397405,1.5213466887053688,23.749022591702527,17.09550031181425,2.3170000058598816,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.03,1,3132,3149,350,0.4986467123069575,0.8994830557151062,0.6416060637099252,81,3482.0,6281.0,34.55555555555556,36.69779823179762,0.8778797731209771,34.55555555555556,0.8038483630097645,-5.736557967478682,0.727646106701906,1.3254838247313274,20.563769410932323,16.93729972653091,1.9715999951586127,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.04,1,3103,2610,379,0.5431472081218274,0.8911545089029294,0.6749320282762371,81,3482.0,5713.0,27.54320987654321,29.537379540566167,0.7109846888374179,27.54320987654321,0.6407237219988512,-3.364173030240189,0.725049105961018,1.1870898239750174,19.500657196530724,16.557599811349064,1.704599999357015,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.05,1,3071,2239,411,0.5783427495291902,0.8819643882825962,0.698589626933576,81,3482.0,5310.0,22.641975308641975,24.40754791169585,0.5906438885485855,22.567901234567902,0.5249856404365307,-1.9799318711345864,0.7421441663061625,1.1019310294350853,18.186125376630024,16.4070004215464,1.9864999921992421,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.06,1,3051,1987,431,0.6055974593092497,0.876220562894888,0.7161971830985915,81,3482.0,5038.0,19.382716049382715,21.170676202336985,0.5092654378853415,19.209876543209877,0.446869615163699,-1.241958110201642,0.7429152163879895,1.0642382924478817,16.448423033289817,16.399900112766773,1.6681000124663115,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.07,1,3035,1793,447,0.6286246893123446,0.8716255025847214,0.730445246690734,81,3482.0,4828.0,16.839506172839506,18.621638813454776,0.4475176380963555,16.617283950617285,0.38655944859276276,-0.7345779913878283,0.7444576577932978,1.0142417995291364,16.005062395549963,16.07369982311502,1.65789999300614,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.08,1,3024,1639,458,0.6485095432125241,0.8684663986214819,0.7425414364640883,81,3482.0,4663.0,14.851851851851851,16.668518415649288,0.3980693967164702,14.580246913580247,0.33917288914417004,-0.389799120485014,0.7479925865889152,0.9839177452212209,15.271585322712456,15.974799738265574,1.4587999903596938,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.09,1,3003,1496,479,0.6674816625916871,0.8624353819643883,0.7525372760305725,81,3482.0,4499.0,12.950617283950617,14.725890528312773,0.3490183826917439,12.555555555555555,0.29207352096496264,-0.08472879588177173,0.7567246567863288,0.9568057198970447,14.412376337265313,16.15480038849637,1.417200022842735,1,0
A_full640,ios-nmm@0.5-drop,ios,nmm,0.5,True,0.1,1,2978,1355,504,0.6872836372028618,0.855255600229753,0.76212412028151,81,3482.0,4333.0,11.074074074074074,12.884577823080287,0.30231382804861867,10.506172839506172,0.2443997702469845,0.1695788147895142,0.7557793552298602,0.9162295521914686,14.107267892213663,15.901199666783214,1.421299995854497,1,0
